CGPA,AptitudeScore,CommunicationSkill,Internships,Projects,Certifications,MockInterviewScore,Backlogs,Attendance,CodingScore,Placed
9.08,59,8,3,2,3,78,4,81,71,1
5.53,67,6,2,3,6,66,5,82,90,1
5.33,37,5,0,3,2,40,0,51,32,0
7.97,42,4,4,4,1,99,4,93,46,0
5.73,38,2,1,3,6,60,3,81,63,1
9.12,39,3,0,4,1,33,4,99,84,1
6.55,91,6,4,6,0,44,0,73,70,1
5.72,89,9,0,3,2,58,5,80,53,0
9.6,88,9,2,2,2,34,3,72,70,1
5.83,38,2,4,1,4,52,5,94,98,0
6.42,40,7,2,2,6,62,2,91,61,1
5.77,53,1,2,1,6,96,5,95,91,0
5.58,71,7,1,1,2,36,3,75,83,0
5.11,56,4,0,7,6,70,0,89,47,0
5.28,66,5,2,0,4,94,5,67,43,0
5.87,46,8,4,3,0,86,4,73,82,1
5.27,82,5,0,6,6,94,1,88,40,1
7.96,55,9,4,7,0,41,3,54,50,1
8.4,39,6,2,1,4,86,2,85,42,1
6.97,83,10,2,1,5,98,3,50,70,1
6.59,93,7,0,2,1,52,5,79,47,0
7.52,35,3,3,4,1,64,5,73,74,0
9.38,63,8,0,7,3,67,1,73,95,1
9.26,88,5,1,1,6,64,5,74,87,1
5.22,80,6,3,1,1,50,2,74,96,0
5.91,90,2,0,2,4,97,4,70,26,0
6.18,61,2,2,6,3,96,4,72,59,0
6.25,59,6,2,0,0,56,2,78,41,0
7.86,81,2,0,3,4,86,2,88,93,1
7.08,44,10,1,0,5,57,2,77,78,1
5.25,50,9,1,1,4,85,5,82,49,0
6.87,74,8,3,7,1,70,2,91,67,1
7.62,78,8,4,0,1,62,1,99,70,1
5.51,42,6,4,2,2,38,2,55,62,1
9.17,68,1,0,7,3,75,1,85,60,1
5.26,58,4,0,4,3,52,2,61,29,0
9.62,67,5,0,0,1,45,0,59,58,1
5.5,97,10,2,3,3,43,0,89,51,1
9.22,39,3,0,7,2,98,4,53,86,0
9.51,99,5,1,3,4,37,0,92,89,1
9.9,64,4,4,4,5,85,3,88,81,1
9.01,85,2,4,4,4,90,4,99,27,1
8.9,62,2,4,5,0,32,4,83,88,1
8.21,55,4,1,1,6,71,2,93,54,0
8.89,85,1,3,6,0,70,1,55,56,1
5.67,79,1,3,7,6,55,5,94,95,1
7.68,44,4,0,1,0,76,5,58,90,0
7.57,80,3,2,6,3,58,3,65,28,0
9.29,83,6,2,6,0,60,0,56,51,1
7.31,60,1,1,5,0,60,0,70,81,0
6.93,95,4,3,2,4,86,1,87,65,1
8.2,76,5,3,3,5,74,0,63,44,1
6.33,56,10,2,6,0,56,5,91,64,0
5.7,35,7,3,1,6,94,1,80,89,1
7.39,78,9,3,6,2,86,1,81,41,1
7.08,48,4,2,7,2,95,5,96,80,1
6.16,84,5,1,5,2,81,4,71,80,0
6.84,69,5,3,2,3,57,1,67,91,1
6.83,65,9,3,4,1,84,2,99,47,1
6.64,45,10,4,0,2,53,3,77,41,1
6.9,81,10,0,7,1,48,3,80,66,1
8.43,45,8,2,2,0,61,5,64,64,0
6.48,62,6,4,0,2,97,5,60,55,0
9.74,89,6,2,6,4,69,5,58,83,1
9.58,94,10,4,5,5,56,0,61,84,1
7.4,99,3,0,4,2,62,1,59,43,0
6.64,97,4,0,0,2,50,3,87,84,0
7.68,71,9,3,6,5,76,0,52,42,1
9.24,48,4,1,5,4,54,2,81,55,1
8.26,89,3,2,6,5,68,0,97,27,1
9.02,87,6,2,6,6,55,5,88,50,1
7.66,99,4,2,1,5,52,0,70,96,1
8.16,77,9,4,1,6,97,0,52,58,1
6.44,44,10,0,7,2,54,1,91,78,1
8.67,67,4,3,4,2,34,0,50,33,1
6.01,64,6,4,3,2,56,3,84,72,1
8.47,89,10,3,2,1,67,2,83,52,1
9.3,60,8,1,5,5,36,5,59,80,1
5.66,56,3,0,6,5,51,1,86,94,1
8.07,40,6,3,0,5,41,3,58,64,0
5.48,89,7,2,4,1,65,3,61,32,0
8.63,84,7,0,7,3,80,3,90,60,1
5.42,37,1,1,2,1,97,4,98,34,0
9.68,63,3,4,2,6,57,1,63,58,1
5.69,66,9,1,7,1,90,3,96,29,1
9.79,65,3,0,0,1,45,4,95,73,0
9.0,94,3,3,3,3,84,5,88,48,1
7.97,44,4,0,3,6,69,3,57,40,1
8.91,54,2,4,6,6,83,3,64,26,1
8.98,46,2,4,1,0,82,5,83,91,0
9.73,50,4,4,3,2,67,3,99,87,1
6.27,93,9,4,1,1,48,5,90,85,1
7.95,96,1,1,6,2,66,0,71,29,1
5.48,37,3,1,5,3,87,2,61,51,0
8.08,76,1,1,3,1,97,0,98,97,1
5.86,50,6,2,3,0,94,0,63,68,1
7.82,47,3,4,1,3,42,2,67,34,0
7.86,53,8,3,7,0,71,1,98,35,1
7.33,47,6,3,5,1,37,2,78,44,1
7.61,66,8,4,2,0,76,2,63,97,1
8.82,99,7,3,3,0,99,3,50,37,1
9.0,73,5,1,5,3,33,5,71,92,1
7.46,82,9,2,5,5,75,5,99,75,1
8.0,67,5,2,3,5,96,2,71,94,1
9.66,35,10,0,2,0,89,1,84,86,1
5.6,40,10,3,5,0,57,4,62,49,0
5.59,52,6,3,5,2,37,0,88,87,1
5.44,50,7,3,4,4,94,3,88,37,1
8.29,89,3,2,0,5,94,2,80,46,1
7.09,89,9,3,3,5,70,1,88,40,1
8.87,90,7,4,4,2,98,3,78,34,1
8.36,76,10,2,7,1,30,1,68,31,1
6.67,71,3,2,4,0,73,1,86,39,1
9.49,77,8,0,2,1,32,3,91,34,1
8.81,61,5,3,4,0,95,1,92,53,1
6.35,78,2,4,1,6,77,4,60,30,1
6.82,86,2,3,0,1,93,0,83,29,1
6.57,84,6,4,5,5,69,2,50,99,1
5.79,74,4,4,7,3,35,4,78,31,0
5.74,38,2,3,6,3,31,1,78,30,0
9.68,82,5,2,4,3,53,4,68,27,1
7.19,58,7,0,0,5,82,4,99,34,0
6.92,83,4,0,7,0,40,5,94,64,0
8.65,70,10,1,3,0,89,1,51,87,1
7.76,92,8,2,2,2,46,4,60,80,1
9.68,56,6,3,7,2,64,5,60,68,1
8.9,95,10,2,5,3,44,4,94,31,1
7.4,89,5,0,5,5,62,1,75,83,1
6.88,56,2,1,2,4,61,4,86,27,0
9.93,66,1,4,7,1,30,0,90,72,1
8.59,69,10,4,3,2,69,3,88,55,1
9.76,84,10,1,4,5,85,2,54,91,1
5.59,79,8,4,6,1,95,3,57,48,1
9.25,90,2,3,5,3,53,3,69,72,1
8.19,59,3,4,1,3,91,0,66,57,1
5.61,67,1,4,2,5,91,3,87,64,0
7.94,63,1,3,2,5,99,5,57,95,0
8.43,94,3,1,7,3,56,2,68,78,1
5.06,54,6,3,5,2,89,1,61,56,0
7.27,73,1,1,2,2,69,5,59,58,0
9.13,42,10,1,5,2,34,0,58,77,1
6.48,90,5,3,5,1,48,2,59,50,1
7.29,59,3,2,3,4,77,3,78,37,1
7.21,57,6,2,3,1,41,2,70,60,1
6.51,72,8,1,7,4,60,5,71,30,0
9.59,67,4,2,4,5,84,2,73,37,1
8.91,90,1,0,1,6,40,5,87,56,0
5.55,69,1,3,5,0,64,0,93,84,0
9.99,68,9,2,4,5,45,4,76,83,1
9.4,41,2,4,4,0,67,3,82,44,1
6.42,36,7,2,5,2,46,1,86,56,0
9.18,60,4,2,7,1,97,1,84,36,1
5.53,99,8,0,2,1,35,4,56,81,0
10.0,94,1,0,3,1,97,3,99,43,1
8.33,75,9,1,1,0,85,3,58,84,0
8.25,76,7,1,5,5,89,0,70,88,1
5.45,60,5,1,3,0,89,3,82,76,0
9.49,46,3,1,2,2,43,5,70,49,1
5.14,35,10,3,5,4,95,0,62,96,1
6.2,57,4,0,3,6,71,2,96,76,0
5.72,55,5,1,3,5,97,2,53,73,0
8.88,47,4,0,3,0,91,5,62,89,0
5.99,51,3,1,2,6,70,1,99,91,1
9.55,36,5,3,1,4,56,2,86,30,1
8.28,74,2,0,6,1,38,4,54,91,0
5.18,95,1,1,0,3,37,0,87,82,0
5.03,79,3,0,2,6,57,4,98,40,0
5.26,64,2,4,5,2,86,4,54,48,0
8.03,62,5,3,1,1,65,4,70,81,1
9.01,54,9,1,5,6,63,3,73,41,1
6.19,44,2,0,5,6,47,4,56,58,0
9.25,73,1,0,5,6,69,4,60,76,1
5.29,71,2,2,2,6,74,5,58,73,0
9.0,35,6,3,0,6,98,2,59,93,1
9.64,62,3,2,7,3,81,2,70,33,1
8.86,53,5,4,2,1,72,3,73,47,1
8.49,46,1,1,6,4,93,1,61,98,1
9.19,80,4,1,1,1,59,5,64,67,1
5.2,69,5,2,1,3,95,4,59,43,0
6.01,76,5,1,6,4,55,3,89,46,1
5.62,81,6,4,7,6,38,1,60,50,1
7.52,98,8,0,6,2,59,2,95,66,1
8.73,87,5,2,6,1,39,2,76,46,1
8.15,75,9,2,1,5,38,3,90,71,1
9.26,92,6,0,7,0,91,4,81,58,1
5.78,66,3,2,5,3,85,4,63,70,0
8.67,99,3,2,1,5,45,5,80,36,0
5.97,84,4,1,1,3,88,5,63,71,0
6.35,77,6,0,6,2,34,4,55,94,0
8.55,93,3,0,2,5,49,2,62,35,1
9.9,68,10,0,6,2,79,3,63,49,1
8.06,81,5,2,1,4,51,2,56,77,1
5.27,53,9,0,2,3,81,3,51,71,0
8.08,97,7,4,2,0,91,4,97,75,1
5.21,75,4,1,2,3,34,2,75,66,0
9.42,85,3,3,5,0,31,3,70,76,1
8.55,64,8,3,7,6,95,0,96,70,1
5.87,91,4,2,7,4,66,4,61,30,0
5.46,39,3,4,5,2,65,2,70,81,0
5.92,42,10,0,1,3,62,2,92,58,0
9.9,67,5,1,7,4,60,3,81,28,1
7.29,82,1,1,4,1,78,1,69,55,0
8.92,87,5,0,4,2,70,3,62,57,1
8.18,63,5,1,5,2,41,4,51,31,1
